2020 Population Census - Basic Complete Tabulation on Population and Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table2-1. Population by Sex, Age (single years) and All nationality or Japanese, and Average age and Median age by Sex and All nationality or Japanese - Japan, Prefectures, 21 Major Cities, Ku-area of Tokyo and Shi with population of 500,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) ""Average age"" and ""Median age"" are calculated without ""Age not reported"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) ""Total"" (All nationality or Japanese) is included ""Nationality not reported""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Average age,Median age
,,,,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,,
,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,000_Total,001_0 years old,002_1 years old,003_2 years old,004_3 years old,005_4 years old,006_5 years old,007_6 years old,008_7 years old,009_8 years old,010_9 years old,011_10 years old,012_11 years old,013_12 years old,014_13 years old,015_14 years old,016_15 years old,017_16 years old,018_17 years old,019_18 years old,020_19 years old,021_20 years old,022_21 years old,023_22 years old,024_23 years old,025_24 years old,026_25 years old,027_26 years old,028_27 years old,029_28 years old,030_29 years old,031_30 years old,032_31 years old,033_32 years old,034_33 years old,035_34 years old,036_35 years old,037_36 years old,038_37 years old,039_38 years old,040_39 years old,041_40 years old,042_41 years old,043_42 years old,044_43 years old,045_44 years old,046_45 years old,047_46 years old,048_47 years old,049_48 years old,050_49 years old,051_50 years old,052_51 years old,053_52 years old,054_53 years old,055_54 years old,056_55 years old,057_56 years old,058_57 years old,059_58 years old,060_59 years old,061_60 years old,062_61 years old,063_62 years old,064_63 years old,065_64 years old,066_65 years old,067_66 years old,068_67 years old,069_68 years old,070_69 years old,071_70 years old,072_71 years old,073_72 years old,074_73 years old,075_74 years old,076_75 years old,077_76 years old,078_77 years old,079_78 years old,080_79 years old,081_80 years old,082_81 years old,083_82 years old,084_83 years old,085_84 years old,086_85 years old,087_86 years old,088_87 years old,089_88 years old,090_89 years old,091_90 years old,092_91 years old,093_92 years old,094_93 years old,095_94 years old,096_95 years old,097_96 years old,098_97 years old,099_98 years old,100_99 years old,101_100 years old,102_101 years old,103_102 years old,104_103 years old,105_104 years old,106_105 years old,107_106 years old,108_107 years old,109_108 years old,110_109 years old,111_110 years old and over,112_Age not reported,R1_(Recount) Under 15 years old,R2_(Recount) 15--64 years old,R3_(Recount) 65 years old and over,R4_(Recount) 75 years old and over,R5_(Recount) 85 years old and over,R6_(Recount) 100 years old and over,R7_(Recount) 20--69 years old,,
,,,,(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(people),(years old),(years old)
All nationality or Japanese,Sex,Identification Area codes,Areas, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Total,0_Total,a,00000_Japan,"126,146,099","831,824","866,525","910,005","934,063","973,665","998,664","996,576","1,020,657","1,024,325","1,048,871","1,057,736","1,063,185","1,083,113","1,077,379","1,069,104","1,070,370","1,113,159","1,123,237","1,151,389","1,159,285","1,177,049","1,174,456","1,193,935","1,193,983","1,191,883","1,210,380","1,212,167","1,192,761","1,209,983","1,206,673","1,234,225","1,258,775","1,299,569","1,335,672","1,356,353","1,407,719","1,456,774","1,476,522","1,478,920","1,491,632","1,558,309","1,596,338","1,656,969","1,699,648","1,779,813","1,852,394","1,956,602","1,991,137","1,954,205","1,895,955","1,837,431","1,807,894","1,764,215","1,758,955","1,371,356","1,689,290","1,582,910","1,542,017","1,491,947","1,461,318","1,469,672","1,494,495","1,450,282","1,407,740","1,475,001","1,516,441","1,512,118","1,598,839","1,679,855","1,768,015","1,886,160","2,052,521","2,014,143","1,893,386","1,165,585","1,234,832","1,488,292","1,416,571","1,430,462","1,360,771","1,206,058","1,017,635","1,048,747","1,035,057","989,231","893,754","794,162","739,149","662,252","580,506","493,824","425,042","358,386","277,613","224,151","169,988","123,057","90,075","64,897","44,707","32,032","17,112","11,855","7,304","4,705","2,824","1,724","1,058",557,211,141,"2,931,838","14,955,692","72,922,764","35,335,805","18,248,742","6,021,086","79,523","75,380,592",47.66094,48.60554
0_Total,0_Total,a,01000_Hokkaido,"5,224,614","29,612","31,000","32,661","33,672","35,428","36,496","37,233","37,813","38,578","39,363","40,192","39,993","41,032","41,514","41,217","41,637","44,401","44,627","45,852","44,712","44,407","43,879","44,309","44,117","43,697","44,396","44,630","43,908","45,677","45,519","46,023","47,503","50,048","51,384","52,505","54,759","57,001","58,202","58,031","59,161","62,595","64,643","67,720","68,863","72,728","76,268","79,173","79,486","77,934","75,301","72,630","71,924","71,095","72,390","57,513","70,658","67,987","67,640","66,510","66,904","67,266","67,790","65,572","66,028","68,724","71,468","74,668","79,432","83,688","86,619","92,296","95,975","90,317","80,140","61,147","56,478","63,998","64,025","62,887","60,058","54,790","48,270","51,385","48,268","45,205","43,243","38,774","35,754","31,579","28,018","24,962","20,425","17,873","13,434","10,538","8,344","6,122","4,428","3,356","2,167","1,576",805,630,357,235,114,72,49,34,14,6,"59,060","555,804","2,945,727","1,664,023","848,273","292,909","3,892","3,120,373",49.80523,51.40664
0_Total,0_Total,1,01100_Sapporo-shi,"1,973,395","12,220","12,616","13,160","13,466","14,130","14,403","14,599","14,522","14,811","15,001","15,275","15,186","15,447","15,331","15,199","15,090","16,036","15,911","18,251","19,451","19,082","19,016","19,431","19,693","19,533","19,527","19,946","19,215","20,056","19,988","20,225","20,614","21,749","22,120","22,650","23,270","23,963","24,522","24,148","24,529","25,905","26,475","27,576","27,763","29,076","30,387","31,575","31,881","31,324","30,358","29,079","28,765","28,162","28,352","22,414","27,071","25,950","25,533","24,970","24,614","24,621","24,657","23,445","23,557","24,198","24,998","25,661","26,857","28,098","29,159","31,416","32,740","30,163","26,949","20,281","18,736","20,896","20,448","20,001","18,916","17,040","14,556","15,452","14,540","13,592","13,207","11,945","11,086","9,799","8,871","7,764","6,593","5,609","4,182","3,198","2,497","1,834","1,344","1,026",643,436,244,201,106,76,35,21,8,10,5,3,"31,063","215,366","1,185,724","541,242","264,920","90,743","1,145","1,235,758",47.72261,48.54738
0_Total,0_Total,a,02000_Aomori-ken,"1,237,984","6,658","6,983","7,526","7,813","8,354","8,218","8,683","8,634","8,836","9,149","9,355","9,250","9,801","9,755","10,097","10,160","11,012","11,372","10,338","9,208","8,975","9,224","8,865","8,473","8,317","8,920","9,229","9,022","9,414","9,543","9,447","10,226","10,645","11,129","11,692","12,328","12,828","13,023","13,187","13,483","14,297","14,815","14,952","15,534","16,202","16,795","17,201","17,518","17,060","16,752","16,852","16,741","17,251","16,859","13,842","16,959","16,695","16,373","16,931","17,252","17,450","18,314","17,864","17,482","18,116","19,269","19,268","20,360","20,565","21,237","22,972","23,213","21,681","21,077","12,963","13,102","15,582","15,364","15,516","14,307","13,187","11,296","13,401","12,944","11,896","11,297","10,263","9,429","8,393","7,328","5,989","4,925","4,513","3,222","2,433","1,903","1,378",894,612,450,305,150,93,70,36,24,14,13,7,2,-,"19,762","129,112","676,167","412,943","210,338","73,743",714,"724,776",50.89684,53.47269
0_Total,0_Total,a,03000_Iwate-ken,"1,210,534","6,555","7,064","7,453","8,023","8,249","8,687","8,771","9,088","9,154","9,391","9,727","9,854","10,035","10,246","10,150","10,523","11,008","11,151","10,626","9,145","8,928","8,742","8,490","8,723","8,409","9,180","9,109","9,239","9,613","9,604","10,099","10,246","10,711","10,872","11,587","11,993","12,747","12,954","13,292","13,423","13,864","14,387","15,189","15,310","16,144","16,600","16,716","16,778","16,518","15,526","15,711","15,872","16,039","15,893","12,855","16,005","15,777","15,844","15,968","16,065","16,581","17,228","17,189","16,607","17,736","18,372","18,387","19,176","20,007","20,113","21,089","21,769","20,413","18,649","12,107","12,233","15,265","14,785","14,870","14,114","13,502","12,028","13,016","12,576","12,273","11,710","10,309","9,710","8,943","7,743","6,705","5,636","4,748","3,792","2,981","2,332","1,607","1,141",791,540,400,213,104,91,48,38,19,9,4,1,-,"14,912","132,447","658,816","404,359","214,277","79,615",927,"702,418",50.67440,53.01862
