2020 Population Census - Basic Complete Tabulation on Population and Households,,,,,,,,,,,,,,,,,,,,,,,,
"Table1-1. Population by Sex, and Number of households and Household members by Type of household, and Population in 2015 (readjusted), Number of households in 2015 (readjusted), Population change number for 5 years, Population change rate for 5 years, Number of households change number for 5 years, Number of households change rate for 5 years, Sex ratio, Area(reference) and Population density - Japan, Prefectures, Municipalities (including Municipalities as of 2000)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"1) ""Population in 2015 (readjusted)"" and ""Number of households in 2015 (readjusted)"" refers to the 2015 population and number of households of Shi, Ku, Machi and Mura readjusted according to the boundaries as of Oct. 1, 2020.",,,,,,,,,,,,,,,,,,,,,,,,
"2) ""Population change number (rate) for 5 years"" and ""Number of households change number (rate) for 5 years"" are calculated using ""Population in 2015 (readjusted)"" and ""Number of households in 2015 (readjusted)"", respectively.",,,,,,,,,,,,,,,,,,,,,,,,
"3) ""Sex ratio"" is the number of males for every 100 females.",,,,,,,,,,,,,,,,,,,,,,,,
"4) ""Municipalities as of 2000"" is the population and number of households as of Oct. 1, 2020, based on the boundaries of Shi, Ku, Machi and Mura as of Oct. 1, 2020, readjusted with the Shi, Ku, Machi and Mura as of Oct. 1, 2000.",,,,,,,,,,,,,,,,,,,,,,,,
"5) ""Land Area"" is based on the ""Municipalities Area Statistics of Japan, 2020"" published by the Geospatial Information Authority of Japan, Ministry of Land, Infrastructure, Transport and Tourism. However, Municipalities as of 2000 are based on the ""Municipalities Area Statistics of Japan, 2000"". And the land areas of 2000 for the areas with undefinable boundaries were calculated by the Statistics Bureau, Ministry of Internal Affairs and Communications.  (See ""Appendix : 2020 Population Census of Japan -- Land Area and Population density"" for main notes on Land Area.)",,,,,,,,,,,,,,,,,,,,,,,,
"6) ""Population density"" is calculated without the area of areas excluded in accordance with the Regulation for the Execution of the Population Census. (See ""Appendix : 2020 Population Census of Japan -- Land Area and Population density"" for detail on Population density.)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
a,00_Japan,00000,2000,00_Japan,00000,0001_Japan,"126,146,099","61,349,581","64,796,518","127,094,745","-948,646",-0.74641,94.68037,"377,976.41",338.2,"55,830,154","55,704,949","125,205","53,448,685","2,381,469",4.45562,"126,146,099","123,162,995","2,983,104"
a,01_Hokkaido,01000,2000,01_Hokkaido,01000,0002_Hokkaido,"5,224,614","2,465,088","2,759,526","5,381,733","-157,119",-2.91949,89.33012,"83,424.44",66.6,"2,476,846","2,469,063","7,783","2,444,810","32,036",1.31037,"5,224,614","5,032,739","191,875"
1,01_Hokkaido,01100,2000,01_Hokkaido,01100,0003_Sapporo-shi,"1,973,395","918,682","1,054,713","1,952,356","21,039",1.07762,87.10256,"1,121.26","1,760.0","969,161","967,372","1,789","921,837","47,324",5.13366,"1,973,395","1,916,478","56,917"
0,01_Hokkaido,01101,2000,01_Hokkaido,01101,0004_Sapporo-shi Chuo-ku,"248,680","112,853","135,827","237,627","11,053",4.65141,83.08584,46.42,"5,357.2","141,429","141,223",206,"132,006","9,423",7.13831,"248,680","240,498","8,182"
0,01_Hokkaido,01102,2000,01_Hokkaido,01102,0005_Sapporo-shi Kita-ku,"289,323","136,596","152,727","285,321","4,002",1.40263,89.43802,63.57,"4,551.3","139,675","139,449",226,"133,662","6,013",4.49866,"289,323","282,668","6,655"
0,01_Hokkaido,01103,2000,01_Hokkaido,01103,0006_Sapporo-shi Higashi-ku,"265,379","126,023","139,356","261,912","3,467",1.32373,90.43242,56.97,"4,658.2","131,188","130,904",284,"124,425","6,763",5.43540,"265,379","257,766","7,613"
0,01_Hokkaido,01104,2000,01_Hokkaido,01104,0007_Sapporo-shi Shiroishi-ku,"211,835","100,062","111,773","209,584","2,251",1.07403,89.52251,34.47,"6,145.5","108,233","108,077",156,"104,608","3,625",3.46532,"211,835","206,212","5,623"
0,01_Hokkaido,01105,2000,01_Hokkaido,01105,0008_Sapporo-shi Toyohira-ku,"225,298","104,154","121,144","218,652","6,646",3.03953,85.97537,46.23,"4,873.4","118,650","118,472",178,"110,171","8,479",7.69622,"225,298","220,096","5,202"
0,01_Hokkaido,01106,2000,01_Hokkaido,01106,0009_Sapporo-shi Minami-ku,"135,777","62,347","73,430","141,190","-5,413",-3.83384,84.90671,657.48,206.5,"62,134","61,919",215,"61,291",843,1.37541,"135,777","129,809","5,968"
0,01_Hokkaido,01107,2000,01_Hokkaido,01107,0010_Sapporo-shi Nishi-ku,"217,040","100,027","117,013","213,578","3,462",1.62095,85.48366,75.10,"2,890.0","103,849","103,655",194,"97,750","6,099",6.23939,"217,040","211,604","5,436"
0,01_Hokkaido,01108,2000,01_Hokkaido,01108,0011_Sapporo-shi Atsubetsu-ku,"125,083","56,755","68,328","127,767","-2,684",-2.10070,83.06258,24.38,"5,130.6","57,289","57,190",99,"55,585","1,704",3.06558,"125,083","121,782","3,301"
0,01_Hokkaido,01109,2000,01_Hokkaido,01109,0012_Sapporo-shi Teine-ku,"142,625","66,913","75,712","140,999","1,626",1.15320,88.37833,56.77,"2,512.3","61,080","60,959",121,"57,333","3,747",6.53550,"142,625","137,776","4,849"
0,01_Hokkaido,01110,2000,01_Hokkaido,01110,0013_Sapporo-shi Kiyota-ku,"112,355","52,952","59,403","115,726","-3,371",-2.91291,89.14028,59.87,"1,876.6","45,634","45,524",110,"45,006",628,1.39537,"112,355","108,267","4,088"
2,01_Hokkaido,01202,,01_Hokkaido,01202,0014_Hakodate-shi,"251,084","113,965","137,119","265,979","-14,895",-5.60007,83.11394,677.87,370.4,"121,793","121,455",338,"123,950","-2,157",-1.74022,"251,084","240,342","10,742"
9,01_Hokkaido,01202,2000,01_Hokkaido,01202,0015_(Municipalities as of 2000) Hakodate-shi,"241,024","109,284","131,740","254,157","-13,133",-5.16728,82.95430,346.90,694.8,"117,466","117,141",325,"119,177","-1,711",-1.43568,"241,024","230,617","10,407"
9,01_Hokkaido,01339,2000,01_Hokkaido,01202,0016_(Municipalities as of 2000) Toi-cho,"2,291","1,026","1,265","2,677",-386,-14.41913,81.10672,53.04,43.2,966,961,5,"1,067",-101,-9.46579,"2,291","2,168",123
9,01_Hokkaido,01340,2000,01_Hokkaido,01202,0017_(Municipalities as of 2000) Esan-cho,"2,486","1,164","1,322","2,993",-507,-16.93953,88.04841,94.27,26.4,"1,148","1,145",3,"1,287",-139,-10.80031,"2,486","2,384",102
9,01_Hokkaido,01341,2000,01_Hokkaido,01202,0018_(Municipalities as of 2000) Todohokke-mura,745,338,407,910,-165,-18.13187,83.04668,24.92,29.9,350,349,1,396,-46,-11.61616,745,728,17
9,01_Hokkaido,01342,2000,01_Hokkaido,01202,0019_(Municipalities as of 2000) Minamikayabe-cho,"4,538","2,153","2,385","5,242",-704,-13.42999,90.27254,158.35,28.7,"1,863","1,859",4,"2,023",-160,-7.90905,"4,538","4,445",93
2,01_Hokkaido,01203,2000,01_Hokkaido,01203,0020_Otaru-shi,"111,299","50,136","61,163","121,924","-10,625",-8.71445,81.97113,243.83,456.5,"52,817","52,615",202,"55,466","-2,649",-4.77590,"111,299","106,082","5,217"
2,01_Hokkaido,01204,2000,01_Hokkaido,01204,0021_Asahikawa-shi,"329,306","152,108","177,198","339,605","-10,299",-3.03264,85.84070,747.66,440.4,"156,195","155,625",570,"155,747",448,0.28765,"329,306","315,003","14,303"
2,01_Hokkaido,01205,2000,01_Hokkaido,01205,0022_Muroran-shi,"82,383","40,390","41,993","88,564","-6,181",-6.97913,96.18270,81.01,"1,016.9","41,766","41,660",106,"43,616","-1,850",-4.24156,"82,383","79,836","2,547"
2,01_Hokkaido,01206,,01_Hokkaido,01206,0023_Kushiro-shi,"165,077","77,506","87,571","174,742","-9,665",-5.53101,88.50647,"1,363.29",121.1,"80,349","80,095",254,"82,078","-1,729",-2.10653,"165,077","159,067","6,010"
9,01_Hokkaido,01206,2000,01_Hokkaido,01206,0024_(Municipalities as of 2000) Kushiro-shi,"159,011","74,548","84,463","167,925","-8,914",-5.30832,88.26113,221.61,717.5,"77,306","77,070",236,"78,874","-1,568",-1.98798,"159,011","153,357","5,654"
9,01_Hokkaido,01666,2000,01_Hokkaido,01206,0025_(Municipalities as of 2000) Akan-cho,"4,390","2,127","2,263","4,882",-492,-10.07784,93.99028,739.37,5.9,"2,259","2,254",5,"2,350",-91,-3.87234,"4,390","4,236",154
9,01_Hokkaido,01669,2000,01_Hokkaido,01206,0026_(Municipalities as of 2000) Ombetsu-cho,"1,676",831,845,"1,935",-259,-13.38501,98.34320,401.40,4.2,784,771,13,854,-70,-8.19672,"1,676","1,474",202
2,01_Hokkaido,01207,2000,01_Hokkaido,01207,0027_Obihiro-shi,"166,536","79,623","86,913","169,327","-2,791",-1.64829,91.61230,619.34,268.9,"80,175","79,933",242,"77,707","2,468",3.17603,"166,536","160,130","6,406"
2,01_Hokkaido,01208,,01_Hokkaido,01208,0028_Kitami-shi,"115,480","54,729","60,751","121,226","-5,746",-4.73991,90.08741,"1,427.41",80.9,"55,188","55,024",164,"56,202","-1,014",-1.80421,"115,480","111,882","3,598"
9,01_Hokkaido,01208,2000,01_Hokkaido,01208,0029_(Municipalities as of 2000) Kitami-shi,"102,000","48,392","53,608","105,979","-3,979",-3.75452,90.27011,421.08,242.2,"49,407","49,271",136,"49,965",-558,-1.11678,"102,000","99,135","2,865"
9,01_Hokkaido,01548,2000,01_Hokkaido,01208,0030_(Municipalities as of 2000) Tanno-cho,"4,384","2,126","2,258","4,886",-502,-10.27425,94.15412,163.50,26.8,"1,737","1,733",4,"1,792",-55,-3.06920,"4,384","4,171",213
9,01_Hokkaido,01551,2000,01_Hokkaido,01208,0031_(Municipalities as of 2000) Rubeshibe-cho,"5,570","2,565","3,005","6,381",-811,-12.70961,85.35774,564.69,9.9,"2,568","2,548",20,"2,835",-267,-9.41799,"5,570","5,183",387
9,01_Hokkaido,01553,2000,01_Hokkaido,01208,0032_(Municipalities as of 2000) Tokoro-cho,"3,526","1,646","1,880","3,980",-454,-11.40704,87.55319,278.29,12.7,"1,476","1,472",4,"1,610",-134,-8.32298,"3,526","3,393",133
2,01_Hokkaido,01209,2000,01_Hokkaido,01209,0033_Yubari-shi,"7,334","3,381","3,953","8,843","-1,509",-17.06434,85.52998,763.07,9.6,"3,807","3,790",17,"4,539",-732,-16.12690,"7,334","6,902",432
2,01_Hokkaido,01210,,01_Hokkaido,01210,0034_Iwamizawa-shi,"79,306","37,105","42,201","84,499","-5,193",-6.14563,87.92446,481.02,164.9,"35,584","35,476",108,"36,155",-571,-1.57931,"79,306","76,126","3,180"
9,01_Hokkaido,01210,2000,01_Hokkaido,01210,0035_(Municipalities as of 2000) Iwamizawa-shi,"72,184","33,758","38,426","76,348","-4,164",-5.45397,87.85198,204.74,352.6,"32,799","32,705",94,"33,105",-306,-0.92433,"72,184","69,528","2,656"
9,01_Hokkaido,01421,2000,01_Hokkaido,01210,0036_(Municipalities as of 2000) Kita-mura,"2,320","1,095","1,225","2,707",-387,-14.29627,89.38776,96.49,24.0,845,843,2,927,-82,-8.84574,"2,320","2,222",98
9,01_Hokkaido,01422,2000,01_Hokkaido,01210,0037_(Municipalities as of 2000) Kurisawa-cho,"4,802","2,252","2,550","5,444",-642,-11.79280,88.31373,179.87,26.7,"1,940","1,928",12,"2,123",-183,-8.61988,"4,802","4,376",426
2,01_Hokkaido,01211,2000,01_Hokkaido,01211,0038_Abashiri-shi,"35,759","18,060","17,699","39,077","-3,318",-8.49093,102.03966,471.00,75.9,"17,253","17,193",60,"18,035",-782,-4.33601,"35,759","34,107","1,652"
2,01_Hokkaido,01212,2000,01_Hokkaido,01212,0039_Rumoi-shi,"20,114","9,649","10,465","22,221","-2,107",-9.48202,92.20258,297.84,67.5,"9,816","9,784",32,"10,402",-586,-5.63353,"20,114","19,120",994
2,01_Hokkaido,01213,2000,01_Hokkaido,01213,0040_Tomakomai-shi,"170,113","83,522","86,591","172,737","-2,624",-1.51907,96.45575,561.57,302.9,"80,130","79,962",168,"78,298","1,832",2.33978,"170,113","164,852","5,261"
2,01_Hokkaido,01214,2000,01_Hokkaido,01214,0041_Wakkanai-shi,"33,563","16,651","16,912","36,380","-2,817",-7.74327,98.45672,761.47,44.1,"16,060","15,944",116,"16,486",-426,-2.58401,"33,563","32,492","1,071"
2,01_Hokkaido,01215,2000,01_Hokkaido,01215,0042_Bibai-shi,"20,413","9,565","10,848","23,035","-2,622",-11.38268,88.17294,277.69,73.5,"9,434","9,359",75,"10,173",-739,-7.26433,"20,413","19,238","1,175"
2,01_Hokkaido,01216,2000,01_Hokkaido,01216,0043_Ashibetsu-shi,"12,555","5,762","6,793","14,676","-2,121",-14.45217,84.82261,865.04,14.5,"6,055","6,021",34,"6,862",-807,-11.76042,"12,555","11,914",641
2,01_Hokkaido,01217,2000,01_Hokkaido,01217,0044_Ebetsu-shi,"121,056","57,523","63,533","120,636",420,0.34815,90.54035,187.38,646.0,"53,977","53,869",108,"51,983","1,994",3.83587,"121,056","117,451","3,605"
