,All ages,<15,15-64,>65,65-74,>75
1920,55963053.0,20416202.0,32605495.0,2941356.0,2209155.0,732201.0
1925,59736822.0,21924045.0,34791714.0,3021063.0,2213520.0,807543.0
1930,64450005.0,23579265.0,37806865.0,3063875.0,2182431.0,881444.0
1935,69254148.0,25545167.0,40484022.0,3224959.0,2300515.0,924444.0
1940,73075071.0,26368708.0,43251699.0,3453702.0,2550068.0,903634.0
1945,71998104.0,26477086.0,41820903.0,3700115.0,2827532.0,872583.0
1950,84114574.0,29786412.0,50168312.0,4155180.0,3085599.0,1069445.0
1955,90076594.0,30122897.0,55166615.0,4786199.0,3375261.0,1387610.0
1960,94301623.0,28434159.0,60469355.0,5397980.0,3756317.0,1641663.0
1965,99209137.0,25529230.0,67444242.0,6235614.0,4342084.0,1893530.0
1970,104665171.0,25152779.0,72119100.0,7393292.0,5155992.0,2237300.0
1975,111939643.0,27220692.0,75807317.0,8865429.0,6024919.0,2840510.0
1980,117060396.0,27507078.0,78834599.0,10647356.0,6987658.0,3659698.0
1985,121048923.0,26033218.0,82506016.0,12468343.0,7756816.0,4711527.0
1990,123611167.0,22486239.0,85903976.0,14894595.0,8921110.0,5973485.0
1995,125570246.0,20013730.0,87164721.0,18260822.0,11091245.0,7169577.0
2000,126925843.0,18472499.0,86219631.0,22005152.0,13006515.0,8998637.0
2005,127767994.0,17521234.0,84092414.0,25672005.0,14070107.0,11601898.0
2010,128057352.0,16803444.0,81031800.0,29245685.0,15173475.0,14072210.0
2015,127094745.0,15886810.0,76288736.0,33465441.0,17339678.0,16125763.0
2020,126146099.0,14955692.0,72922764.0,35335805.0,20018901.0,18248742.0
